modulo,score,status,arquivos,html,js,endpoints,achados,criticos,altos
Dashboard,100,excellent,195,14,41,15,0,0,0
Vendas,100,excellent,114,13,37,141,0,0,0
Faturamento,100,excellent,55,12,23,80,0,0,0
Financeiro,100,excellent,185,26,31,316,0,0,0
PCP,100,excellent,250,29,86,591,0,0,0
Compras,100,excellent,1113,10,352,183,0,0,0
Estoque,100,excellent,6,2,4,41,0,0,0
RH,100,excellent,291,26,116,296,0,0,0
Admin,100,excellent,13,3,5,48,0,0,0
Relatorios,100,excellent,7,6,1,8,0,0,0
NFe,100,excellent,83,13,32,60,0,0,0
CRM,100,excellent,5,2,3,90,0,0,0
Logistica,100,excellent,6,3,1,29,0,0,0
